,Unnamed: 0,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
0,1,26061659,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2000,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:37.287+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1,2,26061660,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2000,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:37.3+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
2,3,26061661,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2000,RESIDENCEAREATYPE,URB,,,,,,,61.0,60.79554,,,,2021-06-23T13:20:37.317+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
3,4,26061662,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2001,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:37.347+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4,5,26061663,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2001,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:37.363+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
5,6,26061664,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2001,RESIDENCEAREATYPE,URB,,,,,,,61.0,60.8117,,,,2021-06-23T13:20:37.393+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6,7,26061665,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2002,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:37.41+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
7,8,26061666,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2002,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:37.44+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
8,9,26061667,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2002,RESIDENCEAREATYPE,URB,,,,,,,61.0,60.91024,,,,2021-06-23T13:20:37.46+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9,10,26061668,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2003,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:37.49+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
10,11,26061669,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2003,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:37.52+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
11,12,26061670,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2003,RESIDENCEAREATYPE,URB,,,,,,,61.0,60.70886,,,,2021-06-23T13:20:37.537+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
12,13,26061671,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2004,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:37.57+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
13,14,26061672,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2004,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:37.583+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
14,15,26061673,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2004,RESIDENCEAREATYPE,URB,,,,,,,61.0,60.50736,,,,2021-06-23T13:20:37.6+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
15,16,26061674,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2005,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:37.647+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
16,17,26061675,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2005,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:37.663+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
17,18,26061676,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2005,RESIDENCEAREATYPE,URB,,,,,,,60.0,60.30575,,,,2021-06-23T13:20:37.71+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
18,19,26061677,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2006,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:37.74+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
19,20,26061678,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2006,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:37.757+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
