,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1,257897,CHOLERA_0000000002,COUNTRY,KEN,YEAR,1994,,,,,,,,,28,28.0,,,,2013-06-11T14:01:25.3+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
2,257979,CHOLERA_0000000002,COUNTRY,KEN,YEAR,1995,,,,,,,,,39,39.0,,,,2013-06-11T14:01:25.3+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
3,258032,CHOLERA_0000000002,COUNTRY,KEN,YEAR,1971,,,,,,,,,38,38.0,,,,2013-06-11T14:01:25.3+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
4,258074,CHOLERA_0000000002,COUNTRY,KEN,YEAR,1972,,,,,,,,,0,0.0,,,,2013-06-11T14:01:25.3+02:00,1972,1972-01-01T00:00:00+01:00,1972-12-31T00:00:00+01:00
5,258144,CHOLERA_0000000002,COUNTRY,KEN,YEAR,1974,,,,,,,,,20,20.0,,,,2013-06-11T14:01:25.3+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
6,258180,CHOLERA_0000000002,COUNTRY,KEN,YEAR,1975,,,,,,,,,74,74.0,,,,2013-06-11T14:01:25.3+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
7,258215,CHOLERA_0000000002,COUNTRY,KEN,YEAR,1976,,,,,,,,,59,59.0,,,,2013-06-11T14:01:25.3+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
8,258252,CHOLERA_0000000002,COUNTRY,KEN,YEAR,1977,,,,,,,,,0,0.0,,,,2013-06-11T14:01:25.3+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
9,258294,CHOLERA_0000000002,COUNTRY,KEN,YEAR,1978,,,,,,,,,17,17.0,,,,2013-06-11T14:01:25.3+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
10,258339,CHOLERA_0000000002,COUNTRY,KEN,YEAR,1979,,,,,,,,,2,2.0,,,,2013-06-11T14:01:25.3+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
