,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1,26049311,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2000,RESIDENCEAREATYPE,RUR,,,,,,,37,37.42449,,,,2021-06-23T13:15:39.287+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
2,26049312,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2000,RESIDENCEAREATYPE,TOTL,,,,,,,47,47.26326,,,,2021-06-23T13:15:39.3+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
3,26049313,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2000,RESIDENCEAREATYPE,URB,,,,,,,87,86.88542,,,,2021-06-23T13:15:39.317+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4,26049314,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2001,RESIDENCEAREATYPE,RUR,,,,,,,38,38.1628,,,,2021-06-23T13:15:39.333+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
5,26049315,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2001,RESIDENCEAREATYPE,TOTL,,,,,,,48,48.0247,,,,2021-06-23T13:15:39.363+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6,26049316,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2001,RESIDENCEAREATYPE,URB,,,,,,,87,86.89001,,,,2021-06-23T13:15:39.38+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
7,26049317,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2002,RESIDENCEAREATYPE,RUR,,,,,,,39,38.89895,,,,2021-06-23T13:15:39.393+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
8,26049318,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2002,RESIDENCEAREATYPE,TOTL,,,,,,,49,48.78173,,,,2021-06-23T13:15:39.427+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9,26049319,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2002,RESIDENCEAREATYPE,URB,,,,,,,87,86.89458,,,,2021-06-23T13:15:39.44+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
10,26049320,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2003,RESIDENCEAREATYPE,RUR,,,,,,,40,39.63293,,,,2021-06-23T13:15:39.457+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
11,26049321,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2003,RESIDENCEAREATYPE,TOTL,,,,,,,50,49.53426,,,,2021-06-23T13:15:39.49+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
12,26049322,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2003,RESIDENCEAREATYPE,URB,,,,,,,87,86.89914,,,,2021-06-23T13:15:39.503+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
13,26049323,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2004,RESIDENCEAREATYPE,RUR,,,,,,,40,40.36476,,,,2021-06-23T13:15:39.52+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
14,26049324,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2004,RESIDENCEAREATYPE,TOTL,,,,,,,50,50.2822,,,,2021-06-23T13:15:39.583+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
15,26049325,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2004,RESIDENCEAREATYPE,URB,,,,,,,87,86.9037,,,,2021-06-23T13:15:39.6+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
16,26049326,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2005,RESIDENCEAREATYPE,RUR,,,,,,,41,41.09442,,,,2021-06-23T13:15:39.613+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
17,26049327,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2005,RESIDENCEAREATYPE,TOTL,,,,,,,51,51.02456,,,,2021-06-23T13:15:39.63+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
18,26049328,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2005,RESIDENCEAREATYPE,URB,,,,,,,87,86.90824,,,,2021-06-23T13:15:39.66+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
19,26049329,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2006,RESIDENCEAREATYPE,RUR,,,,,,,42,41.82192,,,,2021-06-23T13:15:39.677+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
20,26049330,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2006,RESIDENCEAREATYPE,TOTL,,,,,,,52,51.7622,,,,2021-06-23T13:15:39.693+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
21,26049331,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2006,RESIDENCEAREATYPE,URB,,,,,,,87,86.91278,,,,2021-06-23T13:15:39.71+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
22,26049332,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2007,RESIDENCEAREATYPE,RUR,,,,,,,43,42.54726,,,,2021-06-23T13:15:39.74+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
23,26049333,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2007,RESIDENCEAREATYPE,TOTL,,,,,,,52,52.49502,,,,2021-06-23T13:15:39.757+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
24,26049334,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2007,RESIDENCEAREATYPE,URB,,,,,,,87,86.9173,,,,2021-06-23T13:15:39.77+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
25,26049335,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2008,RESIDENCEAREATYPE,RUR,,,,,,,43,43.27044,,,,2021-06-23T13:15:39.803+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
