,_District,Rural_/_Urban,Male_/_Female,In_school_with_pre-primary_as_percent_of_pre-primary_population,In_school_with_Primary_education_as_%_of_primary_school_age_population,In_school_with_Secondary_education_as_percent_of_secondary_school_age_population,In_school_with_Tertiary_education_as_%_of_population,University_students_as_%_of_population,Youth_Polytechnic_students_as_percent_of_population,%_of_people_with_over_3_years_Basic_Literacy,Students_in_Madrassa_school_as_percent_of_school_age_children,No_of_people_over_3_years_in_school_with_Pre-Primary_education,No_of_people_over_3_years_in_school_with_Primary_education,No_of_people_over_3_years_in_school_with_Secondary_education,No_of_people_over_3_years_in_school_with_Tertiary_education,No_of_people_over_3_years_in_University,Youth_Polytechnic,No_of_people_over_3_years_with_Basic_Literacy,No_of_people_over_3_years_in__Madrassa_school,Population,pre-primary_school_age_children,Primary_school_age_children,Secondary_School_age_children,School_age_children,Tertiary_age_population,County,Province,Census_Table,MTEF_Sector,MTP_Sector,Longtitude,Latitude,Geolocation,OBJECTID
1,TURKANA SOUTH,Urban,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turkana,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,35.99979492,2.078370044,"(2.078370044, 35.99979492)",0
2,NYANDARUA NORTH,Rural,Male,114.34%,118.51%,64.27%,5.99%,2.18%,1.44%,0.04%,0%,7982,30207,6881,571,208,137,20,1,46007,6981,25489,10707,43177,9533,Nyandarua,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.42343108,-0.144560572,"(-0.144560572, 36.42343108)",1
3,NYANDARUA NORTH,Rural,Female,113.68%,116.56%,69.31%,7.66%,1.46%,0.58%,0.12%,0%,7198,28598,6765,669,128,51,53,0,43462,6332,24535,9760,40627,8738,Nyandarua,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.42343108,-0.144560572,"(-0.144560572, 36.42343108)",2
4,NYANDARUA SOUTH,Rural,Male,96.18%,120.32%,52.6%,3.55%,2.17%,0.73%,0.06%,0%,8625,39803,6912,411,251,85,32,1,56120,8968,33082,13141,55191,11582,Nyandarua,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.55651343,-0.533045224,"(-0.533045224, 36.55651343)",3
5,NYANDARUA SOUTH,Rural,Female,93.98%,118.71%,57.5%,3.86%,1.23%,0.65%,0.1%,0%,7957,38454,7117,431,138,73,53,0,54223,8467,32393,12377,53237,11177,Nyandarua,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.55651343,-0.533045224,"(-0.533045224, 36.55651343)",4
6,NYERI NORTH,Rural,Male,109%,122.83%,75.37%,5.49%,4.56%,0.94%,0.06%,0%,7693,33960,9335,717,596,123,30,0,52454,7058,27648,12385,47091,13064,Nyeri,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.9811441,-0.266587082,"(-0.266587082, 36.9811441)",5
7,NYERI NORTH,Rural,Female,106.45%,119.45%,82.64%,7.34%,3.61%,0.55%,0.09%,0%,7115,31879,9647,856,421,64,46,0,50028,6684,26689,11674,45047,11656,Nyeri,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.9811441,-0.266587082,"(-0.266587082, 36.9811441)",6
8,NYERI SOUTH,Rural,Male,104.78%,120.84%,92.74%,7.45%,3.72%,1.78%,0.08%,0%,6009,27485,9627,833,416,199,36,1,44606,5735,22745,10381,38861,11185,Nyeri,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.89927916,-0.500808092,"(-0.500808092, 36.89927916)",7
9,NYERI SOUTH,Rural,Female,102.69%,118.16%,88.74%,11.68%,2.68%,0.83%,0.14%,0%,5488,26332,8768,1133,260,81,59,1,42122,5344,22285,9880,37509,9703,Nyeri,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.89927916,-0.500808092,"(-0.500808092, 36.89927916)",8
10,KIRINYAGA,Rural,Male,83.38%,124.62%,70.9%,4.34%,2.71%,0.76%,0.11%,0%,8928,49948,11806,866,540,151,80,3,72322,10707,40081,16651,67439,19951,Kirinyaga,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.32018369,-0.519266797,"(-0.519266797, 37.32018369)",9
